"PersonID","FullName","PreferredName","SearchName","IsPermittedToLogon","LogonName","IsExternalLogonProvider","IsSystemUser","IsEmployee","IsSalesperson","PhoneNumber","FaxNumber","EmailAddress","LastEditedBy","ValidFrom","ValidTo"
"1","Data Conversion Only","Data Conversion Only","Data Conversion Only Data Conversion Only","False","NO LOGON","False","False","False","False","","","","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"2","Kayla Woodcock","Kayla","Kayla Kayla Woodcock","True","kaylaw@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","kaylaw@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"3","Hudson Onslow","Hudson","Hudson Hudson Onslow","True","hudsono@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","hudsono@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"4","Isabella Rupp","Isabella","Isabella Isabella Rupp","True","isabellar@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","isabellar@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"5","Eva Muirden","Eva","Eva Eva Muirden","False","evam@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","evam@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"6","Sophia Hinton","Sophia","Sophia Sophia Hinton","True","sophiah@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","sophiah@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"7","Amy Trefl","Amy","Amy Amy Trefl","True","amyt@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","amyt@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"8","Anthony Grosse","Anthony","Anthony Anthony Grosse","True","anthonyg@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","anthonyg@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"9","Alica Fatnowna","Alica","Alica Alica Fatnowna","True","alicaf@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","alicaf@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"10","Stella Rosenhain","Stella","Stella Stella Rosenhain","True","stellar@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","stellar@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
